bili,stage,riskscore,trt
-0.8010006210799386,0.014669850219179686,3.2795966275714474,-0.8083944820455503
-1.3004741567572047,-0.5195003229649485,3.146261046900632,-0.6978581940151994
-0.8065214418428143,-1.1150839549646285,3.668075604997455,-1.0916618385005563
-1.2440503112076566,0.056636472648617826,3.345632938855067,-1.2886561348799752
-1.2440539811721683,-0.33270590828665414,2.8056585602431197,-1.225323702992844
-0.9688929886402758,0.05521712706054585,2.998111762912036,-2.4010836065803645
-0.884070909616113,-0.07991127996847262,3.238850682176156,-1.5608808682297137
-0.5604100924168327,-0.6149233401240272,3.026606306612655,-2.393135626644133
-1.0997209305627642,-0.8184001903106783,3.2049126424217085,-0.8600588705893129
-1.2585120576073732,-0.9208968042686859,2.945851825697388,-1.0152704565066837
-0.7871384406490141,-1.0129976359941588,3.3489104798491938,-1.1009954701824
-0.4318463448626052,-0.32520101114512334,3.171950835479032,-1.2831702506908758
-0.6648101468662545,-0.1633213824773411,3.8838739097630977,-0.5874605010234064
-0.3994225853385521,-0.38812181542463653,2.9585355419676964,-1.2359272505023273
-0.6091598194603021,-1.1724260773512947,3.5208452449088417,-1.5469253359601347
-1.324107697721146,-0.46503460564878135,3.498811342244495,-1.5245784447782345
-1.0945093566476811,-0.8642127237268294,3.3489606614625727,-1.8043316555852045
-0.7257966914322755,-1.1057207866608318,2.6811990601559423,-1.8990740708063885
-1.251785235915598,-0.6900051139090849,3.380248963259242,-1.2717241289704406
-0.9724025945772107,-0.8805707728882062,3.5540102928976394,-1.3805227698746205
-0.9572010099265298,-0.4152214847941781,3.556329674617584,-1.116701828866805
-0.575603935365294,-0.490139356762297,3.5258653945951623,-0.9350061682317733
-1.4044604454446663,-0.27548549398701005,3.14297228152239,-1.4172658042509423
-0.7069604152484651,-0.3599078654677952,3.00002679177683,-1.05831931613912
-1.031487005292287,0.13945786481010583,2.8814405460232626,-1.1652293464338934
-1.2614205498219169,-0.21669066943540857,2.7669731566975746,-1.1149783671691114
-0.9842658342031745,-0.6344385876819022,3.474499774203093,-0.931211261279369
-0.928591697185453,-0.2179769048040022,2.956022547578508,-1.421745842865062
-0.709743157343516,-1.1928879084500867,2.769945342252684,-1.3232397605124204
0.042481998555489245,-1.2760616039504997,3.297247028390908,-1.3884014592082203
-0.9063953053087145,-0.4269973099111543,3.2253992025100877,-0.894234536798643
-1.3820756513736345,-0.9284269119451676,2.8101380631511894,-0.82578614094856
-0.6756190364756111,-0.9611340871294747,3.1718757273845117,-1.5799494821879951
-0.8649748918045249,-0.3451542281477073,3.31527440249014,-1.08103642823203
